,acc,loss,val_acc,val_loss
0,0.9010222222116259,0.3285152945306566,0.9107333333015442,0.2856458191871643
1,0.9535333333015442,0.15396758557425605,0.9536000000317891,0.15312209628423054
2,0.9660666666348775,0.10899625574747722,0.9621333333651225,0.12318307010332744
3,0.9719999999788073,0.08622550104724036,0.9652000000317892,0.11859468169212341
4,0.977644444433848,0.0683690711736679,0.9567333333651225,0.13259584484100342
5,0.9805333333333334,0.05823839344912105,0.9707333333015442,0.10786490563551585
6,0.9835555555343628,0.04865016912619273,0.9642666666984558,0.12650898405710856
7,0.985777777756585,0.04250197691851192,0.9680666666984558,0.1196524871746699
8,0.9873111111111111,0.03898969749688274,0.9747999999682109,0.10145455392201741
9,0.9874666666666667,0.03615109836243921,0.9701333333333333,0.13007991963426271
10,0.9880888888676961,0.034048661833670404,0.9737333333651225,0.11455187563300133
11,0.9904222222116258,0.027507693032589223,0.9704666666348776,0.12611913471619288
12,0.9900444444444444,0.03088416151271926,0.9733333333651225,0.12336986305912336
13,0.9911111111111112,0.026156921232471035,0.9725333333651225,0.14420080005725225
14,0.9918666666666667,0.02405523409003185,0.9664666666348776,0.1741522230108579
15,0.9903111110899183,0.029580441635681524,0.9732666666348775,0.12425278206268946
16,0.9918666666560703,0.025475188228570752,0.9691333333015442,0.1641822487592697
17,0.9923777777777778,0.022822365659418413,0.9751333333015442,0.12924044355948766
18,0.9937111111111111,0.02054319631305213,0.9702000000317892,0.1580240281800429
19,0.9930444444338481,0.023814537287544874,0.9738666666984558,0.14262681564887364
20,0.9936,0.020244198209782027,0.9754666666348776,0.1378150845490396
21,0.9947555555555555,0.017461512849210863,0.9769999999682109,0.1325633385459582
22,0.9936444444444444,0.021891985469530077,0.9728666666348775,0.16039014397660892
23,0.9945777777671814,0.017313347210579862,0.9735999999682109,0.14501215895960728
24,0.9931555555449592,0.023630549584450718,0.9722666666666666,0.1870683227936427
25,0.9933333333333333,0.02290797349182475,0.9737333333015442,0.15695782480537893
26,0.9936,0.01978380478620529,0.9727333333015442,0.16587084834103782
27,0.9946222222222222,0.01857403384358105,0.9733333333651225,0.17495960107048353
28,0.9953111111111111,0.016526919295410496,0.9732666666348775,0.17404609956741332
29,0.9953777777671814,0.01725076687831574,0.9731999999682108,0.16434480434333285
